molecular_weight,XLogP,Hydrogendonorcount,HydrogenAcceptorCount,RotatableBondCount,Mass,MonoIsotopicMass,PolarSurfaceArea,AtomCount,FormalCharge,Complexity,IsotopeAtomCount,AtomStereoCenterCount,BondStereoCenterCount,CovalentBondCount,VaporPressure,Molecule_Name,logBB
114.23,4.3,0,0,4,114.140850574,114.140850574,0,8,0,37.3,0,0,0,1,20.7,2-Methylheptane,0.86
98.96,1.9,0,0,0,97.9690055,97.9690055,0,4,0,11.5,0,0,0,1,234,2-Methyloctane,0.98
98.96,1.5,0,0,1,97.9690055,97.9690055,0,4,0,6,0,0,0,1,60,2-Methylnonane,1.05
133.4,1.9,0,0,1,131.930033,131.930033,0,5,0,18.9,0,0,0,1,16.7,3-Methylpentane,1.01
167.8,2.7,0,0,0,167.888111,165.891061,0,6,0,35.3,0,0,0,1,10,3-Methylhexane,0.9
122.99,2.1,0,0,1,121.97311,121.97311,0,4,0,7.2,0,0,0,1,274.01,"2,2-Dimethylbutane",1.04
197.38,2.3,0,3,0,195.89022,195.89022,0,7,0,60.4,0,0,0,1,243,Cyclopropane,0.11
126.24,5.2,0,0,6,126.140850574,126.140850574,0,9,0,55.1,0,0,0,1,10.86,Methylcyclopentane,0.93
54.09,2,0,0,1,54.0469501914,54.0469501914,0,4,0,21,0,0,0,1,1840,Cyclohexane,1.11
102.17,1.4,0,1,2,102.104465066,102.104465066,9.2,7,0,42.6,0,0,0,1,10,Methylcyclohexane,0.96
102.17,1.6,0,1,2,102.104465066,102.104465066,9.2,7,0,48.1,0,0,0,1,75.21,"1,2-Dimethylcyclohexane",1.07
184.49,2.1,0,6,2,183.9714332,183.9714332,9.2,10,0,102,0,0,0,1,330,t-Butylcyclohexane,0.61
200.05,2.8,0,8,2,200.00721185,200.00721185,9.2,12,0,121,0,0,0,1,193.02,"1,2,4-Trimethylcyclohexane",1.02
126.08,1.9,0,4,2,126.02924926,126.02924926,9.2,8,0,75.8,0,0,0,1,286,Dichloromethane,-0.34
74.08,0.2,0,2,1,74.03677943,74.03677943,26.3,5,0,40.2,0,0,0,1,170,Chloroform,0.15
102.13,1.2,0,2,3,102.068079557,102.068079557,26.3,7,0,59.1,0,0,0,1,67.21,"1,1-dichloroethane",-0.28
130.18,1.9,0,2,5,130.099379685,130.099379685,26.3,9,0,79,0,0,0,1,5.17,"1,2-dichloroethane",-0.14
102.13,0.9,0,2,2,102.068079557,102.068079557,26.3,7,0,66.5,0,0,0,1,1,"1,1,1-Trichloroethane",0.29
92.14,2.7,0,0,0,92.062600255,92.062600255,0,7,0,42,0,0,0,1,10,"1,1,2-trichloroethane",-0.1
106.16,3.2,0,0,0,106.078250319,106.078250319,0,8,0,58.4,0,0,0,1,10,"1,1,1,2-tetrachloroethane",0.33
106.16,3.1,0,0,1,106.078250319,106.078250319,0,8,0,51.1,0,0,0,1,10,"1-Chloro-2,2,2-trifluroethane",0.12
134.22,4.1,0,0,1,134.109550447,134.109550447,0,10,0,91.1,0,0,0,1,2.2,1-bromopropane,0.27
